"Name","Type","ParentId","BillingStreet","BillingCity","BillingState","BillingPostalCode","BillingCountry","BillingLatitude","BillingLongitude","BillingGeocodeAccuracy","ShippingStreet","ShippingCity","ShippingState","ShippingPostalCode","ShippingCountry","ShippingLatitude","ShippingLongitude","ShippingGeocodeAccuracy","Phone","Fax","AccountNumber","Website","Sic","Industry","AnnualRevenue","NumberOfEmployees","Ownership","TickerSymbol","Description","Rating","Site","OwnerId","Jigsaw","AccountSource","DunsNumber","Tradestyle","NaicsCode","NaicsDesc","YearStarted","SicDesc","DandbCompanyId","CustomerPriority__c","SLA__c","Active__c","NumberofLocations__c","UpsellOpportunity__c","SLASerialNumber__c","SLAExpirationDate__c"
"Edge Communications","Customer - Direct","","312 Constitution Place
Austin, TX 78767
USA","Austin","TX","","","","","","312 Constitution Place
Austin, TX 78767
USA","","","","","","","","(512) 757-6000","(512) 757-9000","CD451796","http://edgecomm.com","6576","Electronics","1.39E8","1000","Public","EDGE","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","Hot","","005GC00000knbPBYAY","","","","","","","","","","Medium","Silver","Yes","2.0","Maybe","2657","2023-03-22"
"Burlington Textiles Corp of America","Customer - Direct","","525 S. Lexington Ave","Burlington","NC","27215","USA","","","","","","","","","","","","(336) 222-7000","(336) 222-8000","CD656092","www.burlington.com","546732","Apparel","3.5E8","9000","Public","BTXT","","Warm","","005GC00000knbPBYAY","","","","","","","","","","","Silver","","6.0","Maybe","5367","2023-03-22"
"Pyramid Construction Inc.","Customer - Channel","","2 Place Jussieu","Paris","","75251","France","","","","2 Place Jussieu","Paris","","75251","France","","","","(014) 427-4427","(014) 427-4428","CC213425","www.pyramid.com","4253","Construction","9.5E8","2680","Public","PYR","","","","005GC00000knbPBYAY","","","","","","","","","","","Silver","Yes","17.0","Maybe","9840","2023-09-22"
"Dickenson plc","Customer - Channel","","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","(785) 241-6200","(785) 241-6201","CC634267","dickenson-consulting.com","6752","Consulting","5.0E7","120","Private","","","","","005GC00000knbPBYAY","","","","","","","","","","Low","Bronze","Yes","2.0","No","7425","2023-09-22"
"Grand Hotels & Resorts Ltd","Customer - Direct","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Chicago","IL","","","","","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","","","","","","","","(312) 596-1000","(312) 596-1500","CD439877","www.grandhotels.com","2268","Hospitality","5.0E8","5600","Public","GHTL","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","Warm","","005GC00000knbPBYAY","","","","","","","","","","High","Gold","Yes","57.0","Yes","5572","2023-09-22"
"United Oil & Gas Corp.","Customer - Direct","","1301 Avenue of the Americas 
New York, NY 10019
USA","New York","NY","","","","","","1301 Avenue of the Americas 
New York, NY 10019
USA","","","","","","","","(212) 842-5500","(212) 842-5501","CD355118","http://www.uos.com","4437","Energy","5.6E9","145000","Public","UOS","World's third largest oil and gas company.","Hot","","005GC00000knbPBYAY","","","","","","","","","","High","Platinum","Yes","955.0","Yes","6654","2023-09-22"
"Express Logistics and Transport","Customer - Channel","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Portland","OR","","","","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","","","","","","","","(503) 421-7800","(503) 421-7801","CC947211","www.expressl&t.net","8742","Transportation","9.5E8","12300","Public","EXLT","Commerical logistics and transportation company.","Cold","","005GC00000knbPBYAY","","","","","","","","","","Medium","Platinum","Yes","150.0","Maybe","4724","2023-09-22"
"University of Arizona","Customer - Direct","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Tucson","AZ","","","","","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","","","","","","","","(520) 773-9050","(520) 773-9060","CD736025","www.universityofarizona.com","7321","Education","","39000","Other","","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","Warm","","005GC00000knbPBYAY","","","","","","","","","","Medium","Gold","Yes","3.0","Yes","8350","2023-03-22"
"United Oil & Gas, UK","Customer - Direct","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","","UK","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","","","","","","","","+44 191 4956203","+44 191 4956620","CD355119-A","http://www.uos.com","4437","Energy","","24000","Public","UOS","","","","005GC00000knbPBYAY","","","","","","","","","","High","Platinum","Yes","34.0","No","3479","2023-03-22"
"United Oil & Gas, Singapore","Customer - Direct","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","Singapore","Singapore","","","","","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","","","","","","","","(650) 450-8810","(650) 450-8820","CD355120-B","http://www.uos.com","4437","Energy","","3000","Public","UOS","","","","005GC00000knbPBYAY","","","","","","","","","","High","Platinum","Yes","6.0","Maybe","2457","2023-09-22"
"GenePoint","Customer - Channel","","345 Shoreline Park
Mountain View, CA 94043
USA","Mountain View","CA","","","","","","345 Shoreline Park
Mountain View, CA 94043
USA","","","","","","","","(650) 867-3450","(650) 867-9895","CC978213","www.genepoint.com","3712","Biotechnology","3.0E7","265","Private","","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs","Cold","","005GC00000knbPBYAY","","","","","","","","","","Low","Bronze","Yes","1.0","Yes","7324","2023-09-22"
"sForce","","","The Landmark @ One Market","San Francisco","CA","94087","US","","","","","","","","","","","","(415) 901-7000","(415) 901-7002","","www.sforce.com","","","","","","","","","","005GC00000knbPBYAY","","","","","","","","","","","","","","","",""
"Sample Account for Entitlements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005GC00000ktoGbYAI","","","","","","","","","","","","","","","",""
"ARData","Prospect","","","","","","","","","","","","","","","","","","","","","","","Agriculture","","","","","","","www.google.com","005GC00000knbPBYAY","","","","","","","","","","","","","","","",""
"TS","","","","","","","","","","","","","","","","","","","","","","www.abc.com","","","","","","","","","","005GC00000knbPBYAY","","","","","","","","","","","","","","","",""
